trigger,category,rt,amplitude
51,69,NaN,2839.8924438964
51,69,NaN,2285.86270607872
51,0,0.5390625,1879.34959300256
61,69,NaN,1521.81440997924
51,69,NaN,1292.76313642912
61,69,NaN,2186.82008858899
62,60,NaN,185.5121854294
52,0,0.46875,134.707227871542
52,0,0.3515625,71.8340203052042
51,0,0.484375,1347.87947777836
52,60,NaN,126.803448144388
51,69,NaN,2052.05071209389
61,69,NaN,1685.50874940598
52,69,NaN,109.091658855589
51,69,NaN,1429.11422392327
51,0,0.90625,1417.17030892665
62,60,NaN,110.413859883385
52,60,NaN,138.492334521416
52,60,NaN,136.969710991231
52,60,NaN,106.202402886138
52,60,NaN,107.861304543555
52,60,NaN,143.589006327827
51,69,NaN,1696.82182075606
51,69,NaN,1348.16116165972
51,0,0.7109375,1183.78778522389
51,0,0.703125,1281.32060505977
61,0,0.5859375,1492.88814170315
52,0,0.625,110.541813014482
51,69,NaN,1464.58255504909
62,0,0.359375,120.347083709482
51,69,NaN,1170.89181180177
61,0,0.5234375,1119.53928973983
52,60,NaN,120.864751943944
51,69,NaN,961.831991832509
52,60,NaN,114.567820219719
51,69,NaN,919.063094799511
51,69,NaN,1134.55582957795
62,60,NaN,104.991864342173
51,0,0.8046875,1169.41263311772
51,0,0.78125,1366.92788432486
62,0,0.3828125,116.414549167435
52,60,NaN,122.908472703054
51,69,NaN,1181.81260801625
52,60,NaN,95.3744322816825
52,60,NaN,108.232375158033
51,0,0.890625,1049.81137810359
61,69,NaN,1614.712684359
51,69,NaN,1656.93586146709
62,0,0.1640625,121.336281291206
52,60,NaN,98.9744472109009
52,0,0.1015625,109.929094769529
51,69,NaN,1256.9825701137
52,60,NaN,155.344196752949
61,69,NaN,1423.00057489781
51,0,0.546875,1538.5608414018
52,0,0.2578125,133.974174315684
51,69,NaN,1492.64614995754
52,60,NaN,124.619703327354
51,69,NaN,1787.37829679622
62,69,NaN,120.595729616667
51,69,NaN,1698.17374582334
52,0,0.28125,80.0682947199672
52,60,NaN,147.255679135585
52,60,NaN,108.555620040425
52,0,0.0859375,81.2563739831254
52,60,NaN,122.409432266534
51,0,0.78125,998.808213257158
52,0,0.5,110.799647841602
52,0,0.46875,98.1404372966653
61,0,0.4453125,1007.42851591314
52,0,0.296875,103.051944746745
51,0,0.7421875,1351.0170111261
51,69,NaN,1122.96968729057
51,0,0.5859375,865.459181134477
51,0,0.796875,1037.45914019299
51,69,NaN,999.123628941122
52,0,0.3125,98.8420749795764
52,60,NaN,107.915783199939
62,60,NaN,136.201131410558
51,69,NaN,1047.64813817945
51,99,NaN,1251.01265796872
51,69,NaN,1058.56484932392
52,0,0.2734375,93.6599361585566
51,69,NaN,1275.0689545977
52,0,0.4140625,125.680619853139
51,69,NaN,1136.11843768037
51,69,NaN,1246.96203118634
52,60,NaN,133.122484736899
61,69,NaN,1068.79889074723
52,60,NaN,120.244875946371
52,0,0.3828125,83.2772164320741
52,60,NaN,94.9365645043869
52,60,NaN,107.285892947509
51,69,NaN,1369.12030786216
51,69,NaN,1177.9869194562
52,60,NaN,135.847693112975
52,99,NaN,124.853804877336
52,60,NaN,140.460079780793
51,69,NaN,1470.14725418233
62,60,NaN,154.858278435507
51,0,0.3828125,1384.81798737575
52,0,0.296875,67.637848682258
52,0,0.046875,112.419579042855
61,0,0.6796875,1631.62497951099
52,0,0.296875,101.671804284482
51,69,NaN,1527.27377547663
62,0,0.671875,125.616283670857
52,60,NaN,148.679323749056
51,0,0.546875,2052.49563466763
52,0,0.25,111.006538000628
52,60,NaN,109.471238055656
62,60,NaN,125.793104529139
52,60,NaN,117.927437710014
52,60,NaN,100.435232360803
52,0,0.2265625,97.7796060108149
52,0,0.3984375,91.2439205652367
51,0,0.8515625,2303.34025964464
52,60,NaN,117.929765865796
51,69,NaN,1927.37570159273
61,69,NaN,1975.24468166483
52,0,0.28125,114.436013851734
52,60,NaN,144.370496597787
52,60,NaN,121.739546261959
51,0,0.4453125,2089.27356196604
51,0,0.9140625,1658.53061892077
51,69,NaN,1881.43690294647
51,69,NaN,1880.51944026118
52,0,0.34375,99.9841557643798
62,0,0.2421875,145.293937486037
52,60,NaN,132.51993073777
61,69,NaN,2547.9777666345
61,69,NaN,1904.61504961497
52,60,NaN,176.897072275584
51,0,0.2890625,2017.34086890391
