trigger,category,rt,amplitude
52,0,0.4765625,369.920854946652
62,0,0.6796875,366.088788294852
52,0,0.71875,275.730044002812
62,59,NaN,26.7867765147856
51,59,NaN,2321.09850354701
62,0,0.5,466.535338441278
52,0,0.734375,309.995849826815
51,0,0.6796875,2810.97101499615
52,0,0.328125,262.558235929393
51,0,0.8203125,3555.70833127296
52,99,NaN,374.127169444826
51,0,0.7109375,3849.88592692008
52,60,NaN,200.601717196464
52,0,0.5390625,294.367041725017
51,0,0.4921875,4892.89443328866
51,0,0.6875,3265.02506235268
52,0,0.5,618.319787011745
52,0,0.34375,561.184114736744
52,0,0.3671875,473.147764392785
62,0,0.3984375,513.354519216934
61,69,NaN,4249.11451338691
51,0,0.4140625,5466.30660556524
52,0,0.578125,436.429912981629
51,0,0.8125,5471.92160469941
51,0,0.4296875,5581.35014640343
51,0,0.5546875,5934.67004111056
52,0,0.4609375,565.039626094965
52,0,0.2578125,314.440242914084
52,0,0.2109375,223.493176873379
52,0,0.296875,351.658417249862
52,0,0.2421875,226.074395275087
52,0,0.3515625,288.586320929973
51,0,0.5,6112.30255773967
51,0,0.375,6033.96859972587
62,0,0.5859375,389.758382264736
62,0,0.65625,443.01752957132
51,50,NaN,88.4661918529017
52,0,0.484375,209.016959240171
52,0,0.25,241.841423755166
51,0,0.421875,8675.29980153737
52,0,0.390625,359.18877736764
61,0,1.0078125,5559.26072796991
62,0,0.7265625,295.419118166982
61,0,0.4609375,5225.05242805001
52,0,0.7421875,332.075008556616
61,0,0.6875,4117.36092456494
51,0,0.9296875,4322.74290868799
51,0,0.625,3795.57351321006
51,0,0.4296875,6689.11786356127
52,0,0.6875,513.5437443075
61,0,0.640625,7325.63398749678
52,0,0.71875,498.772816010201
52,0,0.2890625,418.366122063334
52,0,0.4140625,375.442643612722
52,0,0.40625,467.102956649144
52,0,0.3359375,322.766425092698
52,0,0.5546875,387.542491476539
51,0,0.421875,8026.23472165009
51,0,0.453125,5669.34417218765
61,0,0.4921875,4382.7454624059
52,0,0.734375,480.053878920747
51,0,0.734375,4287.57808986348
51,0,0.6640625,5833.45170998898
52,0,0.2890625,364.716120895069
62,0,0.765625,277.084586443924
51,0,0.4609375,4499.16741893195
51,0,0.5859375,7762.5376471725
51,99,NaN,7667.38304877539
52,0,0.671875,302.738117597304
52,0,0.3125,286.779577162413
51,0,0.4765625,7777.78616254629
62,0,0.609375,362.45076498936
52,0,0.5390625,372.634446606414
51,0,0.515625,9089.33988287742
62,0,0.671875,214.157075478513
52,0,0.875,316.26769227565
51,0,0.515625,9406.7356019479
52,0,0.5859375,321.63624656422
51,99,NaN,8110.47367811157
52,99,NaN,421.803715774866
61,0,0.8046875,9719.43435851933
51,0,0.7734375,8500.01639540664
51,0,0.578125,9527.56224392327
52,0,0.4453125,465.110152410524
51,0,0.515625,7763.25133293922
52,0,0.3984375,577.226156720797
52,50,NaN,63.1397257153097
52,0,0.515625,268.181787619895
51,0,0.4921875,11464.3473598995
62,0,0.6953125,333.296052863248
51,0,0.5078125,9312.76012558026
61,0,0.859375,8905.42793329232
52,0,0.3828125,540.067422979889
51,59,NaN,139.758301173346
52,0,0.359375,247.413435209877
61,0,0.5859375,8959.32096601541
51,0,0.7265625,8715.20090025518
51,0,0.4609375,8703.42321642832
52,99,NaN,481.698098060815
52,0,0.453125,398.243271494119
52,0,0.46875,360.110778070313
52,0,0.265625,254.562071049328
51,0,0.6796875,10324.804908123
62,0,0.5390625,290.604122825804
51,0,0.4609375,9306.23426139924
52,0,0.3828125,324.187905729667
51,0,0.5546875,9716.41641156811
52,0,0.8203125,391.255562438276
52,0,0.296875,280.986129065295
51,0,0.4921875,11042.3964880748
62,0,0.953125,361.390904037053
51,0,0.8203125,9999.65802927926
51,0,0.5703125,9992.12826534964
51,0,0.7265625,11043.9036696773
51,0,0.859375,10419.3112213981
51,0,0.3828125,9755.47836299165
51,0,0.734375,11882.2290164097
51,0,0.46875,9486.80687257254
51,0,0.5703125,9945.69493768982
51,0,0.453125,9720.71854800545
52,0,0.265625,447.216994447668
51,0,0.78125,13423.4094702145
52,0,0.2109375,391.453359855693
51,0,0.8203125,11058.0317417077
52,60,NaN,375.875740181649
61,0,0.8046875,11770.5022267774
52,0,0.3359375,308.94501329959
51,0,0.7578125,12416.3222203324
52,0,0.6171875,311.811232331696
61,0,0.65625,10270.7435967656
61,0,0.6171875,9363.55292505731
61,0,0.71875,9660.61643405728
62,0,0.65625,675.506091171077
51,99,NaN,9376.03186140689
52,0,0.6875,339.448428582601
61,0,0.671875,10202.6980877279
52,0,0.765625,671.664921315269
52,0,0.3828125,363.952896567529
