trigger,category,rt,amplitude
251,0,0.1953125,96.1120176130775
151,0,0.359375,111.257864518721
253,0,0.328125,88.8992135673795
241,0,0.71875,66.4692481475881
152,0,0.4296875,122.699590684109
141,0,1.1640625,202.812652433888
252,0,0.171875,57.0054766508063
241,0,0.1171875,167.455147267656
242,0,0.421875,28.1064324966477
153,0,0.4765625,122.59178339761
141,69,NaN,182.078363734834
252,0,0.4140625,59.9511065228371
241,0,0.0546875,23.4551193126066
242,0,0.2421875,24.5024827857508
153,91,NaN,169.509983778152
251,0,0.2109375,57.5203337957284
241,0,0.265625,43.9335240584172
152,0,0.1953125,235.141690959024
141,0,0.765625,154.275430138595
142,69,NaN,265.145420976551
253,0,0.171875,126.166349979037
241,0,0.1796875,27.8950928990274
152,69,NaN,217.974088725641
141,69,NaN,166.247246558002
252,0,1.0390625,52.9882400256056
151,0,0.2734375,247.465260048249
141,99,NaN,112.645835139083
142,0,0.71875,55.5739684247076
253,0,0.328125,56.5740123387501
241,0,0.0703125,61.5587621146572
152,69,NaN,81.8831038020621
141,69,NaN,116.535404673582
252,0,0.140625,114.468901872844
241,0,0.25,59.6657298744961
242,0,0.4921875,43.2754917976563
153,99,NaN,121.421658370449
141,69,NaN,223.587583724971
142,0,0.6953125,137.456534092546
253,0,0.1328125,43.023158391363
151,0,0.4296875,203.917509695669
141,0,0.84375,124.229723009355
142,0,0.7890625,209.075107846946
253,0,0.390625,34.2976058796902
241,60,NaN,38.5672332240529
242,0,0.25,57.3145428227128
153,69,NaN,64.1274848526569
141,0,0.34375,190.621564623923
252,0,0.1484375,112.786476401328
241,0,0.1171875,59.3632648007558
242,0,0.171875,128.413667149733
153,0,0.71875,136.70351769919
141,0,0.65625,195.607562428883
252,0,0.6796875,61.8185342999967
241,60,NaN,51.4496239606185
242,0,0.625,63.8017513114584
153,0,0.0234375,96.1107983143433
141,50,NaN,35.3689882136088
252,0,0.1875,38.1155215794476
151,0,0.40625,77.9901277265609
141,0,1.109375,155.324829504231
252,0,0.359375,90.3281917627852
241,0,0.1328125,32.0056307077538
242,0,0.3125,137.659306574875
153,0,0.53125,149.661142318705
251,0,0.109375,75.1630072271999
241,0,0.296875,65.3118015463593
152,0,0.4921875,116.836541546963
141,0,0.515625,119.817267141608
252,0,0.640625,60.1544416275281
151,0,0.3203125,182.48347069047
141,69,NaN,158.18793209693
252,60,NaN,22.3303731206232
151,0,0.421875,113.863504202823
141,0,0.53125,167.867593364032
142,0,0.8125,236.302078472021
253,0,0.5,86.2685365442399
151,0,0.921875,152.921569851111
253,0,0.1015625,48.815515622653
241,0,0.2421875,46.6627975653465
152,0,1.203125,98.4816940553217
141,0,0.9296875,118.375211582049
252,0,0.2890625,58.4120665806171
241,0,0.421875,45.3107384646496
242,0,0.296875,22.810539161417
153,0,0.375,182.084381011988
141,0,0.71875,135.794131628066
142,0,0.7890625,153.401316328987
253,0,0.203125,54.6956950002488
241,0,0.15625,162.440707729474
