trigger,category,rt,amplitude
141,0,0.6015625,4554.03317322317
142,0,0.515625,5988.2182130587
253,59,NaN,47.9861241994004
151,0,0.4140625,4356.52063930404
141,0,0.59375,4529.40172231036
142,0,0.4296875,4535.7510830984
253,0,0.59375,76.2242321445043
241,0,0.390625,47.3030589641527
152,0,0.4609375,5598.78996222784
251,0,0.328125,86.2945711735106
241,59,NaN,35.3286239090906
152,0,0.515625,6133.48932392576
141,0,0.6328125,5250.29352544255
142,0,0.5546875,3406.49313998608
253,59,NaN,39.5469586091951
151,0,0.6015625,4885.58326128738
253,0,0.5546875,63.4003346649999
153,0,0.5,3741.64495489963
253,59,NaN,31.428394233359
241,59,NaN,38.1753642934139
152,0,0.4921875,4363.17729014731
251,59,NaN,19.7004841172614
241,59,NaN,28.8149693546175
242,59,NaN,21.8094196780815
153,0,0.4609375,4111.88688736904
251,59,NaN,43.3294044505138
241,99,NaN,48.8186326962246
242,59,NaN,37.8532089100723
153,0,0.515625,3914.02808318367
141,0,0.578125,4091.36159786369
142,0,0.546875,3357.65086590882
253,59,NaN,48.0423202798774
241,59,NaN,22.4596165930053
242,59,NaN,32.1558770874207
153,0,0.59375,5043.07535077954
141,0,0.5625,3316.62020670683
142,0,0.609375,2807.56220564146
253,59,NaN,36.0813936381231
241,0,0.7265625,67.989745277285
152,99,NaN,3536.4202540821
141,0,0.5625,3759.22840232954
142,99,NaN,2773.32252455215
253,59,NaN,46.7557851690318
241,0,0.75,51.3071783986287
242,59,NaN,28.6144073156851
153,0,0.53125,4497.41706237515
251,99,NaN,55.2541378455547
241,0,1,71.5085321008014
242,0,1.0078125,42.4248519181705
153,0,0.4453125,3460.91587358376
141,0,0.546875,3705.76062954208
142,0,0.5859375,3098.087595192
253,0,0.8515625,67.5508265126666
151,0,0.6171875,3288.75879907026
253,99,NaN,122.2132690119
241,0,0.5234375,139.232059414339
152,0,0.578125,4730.14454346114
141,0,0.546875,3893.52364612081
252,59,NaN,29.8398499438988
151,99,NaN,3559.90841291649
141,0,0.5,3927.73778259572
252,59,NaN,40.1314858805697
241,59,NaN,38.768708748155
242,0,0.59375,60.5100063959259
153,99,NaN,3098.66079518684
141,99,NaN,3273.6026346264
252,99,NaN,70.6027904219691
241,59,NaN,40.0364345890885
152,0,0.453125,4688.13619194294
141,0,0.453125,3804.86604676681
142,0,0.453125,3733.20931131737
253,0,0.5859375,54.53867545992
151,0,0.515625,3370.3490952474
253,0,0.703125,56.0053909016926
241,0,0.7734375,50.1081465058566
152,59,NaN,747.835449805031
141,0,0.4296875,3625.03197015159
252,59,NaN,47.142854014465
241,0,0.8828125,54.2122188012041
152,0,0.4375,4421.30115307602
141,0,0.59375,3608.49208560202
142,0,0.4765625,3626.89841604871
253,59,NaN,38.2949760238874
241,59,NaN,24.8499383353703
242,99,NaN,45.6275789135663
153,0,0.4765625,4408.72351876991
141,0,0.46875,4276.63883917878
252,59,NaN,32.8705035857098
241,59,NaN,39.2970675753514
242,99,NaN,43.1401467422822
153,0,0.546875,4571.1174370638
251,59,NaN,29.2862293500113
241,59,NaN,35.1621460740952
152,0,0.46875,3902.7051603746
141,0,0.59375,3858.84223063026
252,0,0.65625,64.8246245255355
