trigger,category,rt,amplitude
52,0,0.0078125,76.8430157222603
52,0,0.0078125,149.506663131495
62,0,0.0078125,106.191326594453
51,0,1.28125,3663.63068244233
52,0,0.46875,78.6558364930111
52,0,0.0078125,91.6252046628093
51,0,0.9609375,6987.03229433446
62,0,0.6796875,49.2654184683801
61,0,1.0234375,4759.77950154991
52,0,0.1328125,202.418556981956
52,0,0.3203125,127.329744826022
52,0,0.5859375,67.9989293331639
62,60,NaN,74.1361314046097
52,0,0.0078125,134.424085356933
52,0,0.5546875,67.7041252907366
52,0,0.0078125,132.367662263931
51,0,0.8828125,6292.27733076017
51,69,NaN,6307.83052819353
52,0,0.296875,78.6213368948427
51,69,NaN,7129.96192158017
51,0,1.171875,4015.44488926766
51,0,0.9453125,6191.00424352454
62,0,0.75,77.1670047113382
52,0,0.5078125,64.3091757171072
52,0,0.2109375,71.2703027750345
52,0,0.2578125,76.329131478976
51,0,0.8359375,7924.50233740758
51,0,0.578125,6696.01291590325
51,0,0.6875,7980.91478349456
51,0,0.734375,6545.41516157252
52,0,0.359375,137.591858061827
52,0,0.0078125,109.680811346557
52,0,0.0078125,116.333601980124
52,0,0.3984375,75.9443548635685
51,0,0.9453125,6279.46603279496
51,69,NaN,7448.5132285492
52,0,0.296875,66.9394154743853
62,0,0.5078125,102.773171106104
52,0,0.40625,85.9342703242954
51,0,0.90625,9014.94946326924
52,60,NaN,66.6026792501657
52,0,0.40625,86.8858771518762
52,0,0.0078125,70.5568288073377
51,0,0.78125,5788.70383489857
52,0,0.28125,68.8616085956351
52,0,0.0078125,130.470520513635
52,0,0.3515625,65.0148100509709
51,69,NaN,2908.95520503303
52,0,0.3359375,95.8063185439369
51,0,0.8046875,7167.62161931502
51,0,0.8359375,4071.20852920716
51,69,NaN,4275.90102671071
51,0,0.5625,8094.71672209037
62,0,0.0078125,222.065243697655
52,0,0.0234375,76.1404031500195
51,0,0.8515625,5855.4800877644
61,0,1.265625,1779.08885897361
51,0,1.109375,2866.88077597214
51,69,NaN,1766.07782181938
52,0,0.3125,118.995226520712
61,0,1.1484375,1668.44588332692
61,0,1.265625,3422.81662262478
51,0,1.3046875,2263.28248706422
52,0,0.4921875,98.2807444734722
61,69,NaN,5774.91266375489
52,60,NaN,89.9106161329325
52,0,0.0078125,90.3594448422875
52,0,0.0078125,84.5566701336296
52,0,0.0078125,84.6259061767238
61,0,1.21875,5129.6217141745
52,0,0.3671875,88.201684031656
51,0,1.0390625,3847.20551660713
52,99,NaN,58.5663253574348
62,0,0.6875,69.227449768789
51,69,NaN,6110.83893044418
52,60,NaN,99.973825087474
52,0,0.46875,73.037075688889
51,69,NaN,3944.32183708759
52,0,0.3984375,87.0708342603029
52,0,0.3125,60.9429560932201
52,0,0.328125,75.3616643952772
52,0,0.3671875,80.3082142359042
52,0,0.0078125,73.2228489258792
51,69,NaN,4699.84788664931
51,91,NaN,8762.21083110258
51,0,0.7265625,8926.2828693822
51,0,0.65625,6289.6926877862
51,0,0.578125,4908.99217613822
52,0,0.2109375,73.5498770996419
62,0,0.078125,88.4562502211521
51,0,0.78125,4748.98929722491
51,0,0.6796875,6086.27926157546
61,0,1.328125,2389.48346982546
61,0,0.9296875,4818.14444383802
52,0,0.3203125,94.1158512362831
51,0,1.0625,4061.17644369785
62,0,0.609375,97.3969249599336
52,0,0.0078125,87.4276391837248
51,0,1.2109375,8768.56979298713
51,0,0.8671875,6039.70506203819
51,69,NaN,8057.1547395312
61,0,0.890625,3587.06368634745
61,0,0.9921875,5188.25531843631
51,0,0.71875,4505.24198140612
51,0,0.6953125,4136.13581073326
52,0,0.5859375,143.376632068069
51,0,0.7109375,3749.50663390709
61,0,1,3874.26383901584
51,0,0.671875,7921.40536005617
51,69,NaN,4585.75311797773
52,0,0.0078125,92.5252524888703
52,0,0.296875,54.9530526186898
52,0,0.1796875,71.7926324285416
52,0,0.421875,92.2375837802583
52,0,0.3828125,75.5516812913356
52,0,0.0078125,94.590234201879
52,0,0.125,110.620681981864
62,0,0.921875,133.24604441963
51,0,0.546875,5209.68185086309
62,0,0.390625,137.476104395378
51,0,0.765625,6760.46827561596
52,0,0.1640625,69.4494504190088
51,0,1.2421875,4212.62863629882
62,0,0.75,86.8797124769021
52,0,0.0078125,102.56249735001
52,0,0.0078125,91.0843534329401
51,0,0.9296875,8003.23035282886
51,0,0.7421875,2858.66009899809
51,0,0.8359375,2457.56657805966
51,50,NaN,1041.54260390862
51,0,0.859375,2143.14152076477
51,0,0.671875,2730.93470920425
61,0,1.0078125,1474.44528392444
62,60,NaN,91.5645412905121
52,0,0.0078125,110.506929308411
61,0,0.7421875,5105.24623426094
51,0,0.671875,3407.64065663276
52,0,0.0078125,107.849382061988
52,0,0.0078125,79.209983533065
51,0,0.8671875,3426.00672085239
