trigger,category,rt,amplitude
62,50,NaN,23.0300655497399
51,0,0.96875,3460.05440191989
52,60,NaN,81.0964625603559
52,0,0.578125,51.8909027806375
52,0,0.3671875,40.1033718742111
51,0,0.8125,4348.92327450203
51,0,0.953125,1561.9066929967
51,69,NaN,1875.91537337719
51,0,0.3984375,2896.1287942233
52,0,0.3671875,52.081919722656
61,0,0.7109375,3128.77785040863
51,0,0.8046875,2279.85262797735
51,0,0.609375,2017.28140382633
51,0,0.796875,2391.29023116043
52,60,NaN,42.8822155951718
62,0,0.453125,32.3933457384125
61,0,0.9140625,2070.70997742004
52,99,NaN,29.8423321457934
52,60,NaN,54.3441371197853
52,0,0.3125,47.0854290833381
51,0,0.6640625,2817.12305278375
52,60,NaN,63.0129564770466
61,0,0.4453125,2204.87574158701
62,60,NaN,75.1349044305847
51,0,0.6484375,2236.22278586454
51,0,1.0078125,1076.24187868901
52,0,0.2265625,44.1990805339119
62,60,NaN,79.7213280280463
52,0,0.5859375,37.1906093454728
52,0,1.0703125,38.5611174370983
52,99,NaN,38.5131362598119
62,0,0.828125,32.5836414185372
52,0,0.671875,45.3457697880112
52,0,0.375,40.0825113929922
51,69,NaN,4014.11335858242
51,69,NaN,3524.57092775192
51,69,NaN,2312.9305666462
52,60,NaN,97.150071670346
52,0,0.296875,66.5605586708243
51,69,NaN,5295.95978674541
62,60,NaN,51.6085265412845
61,0,1.0234375,4518.52698142593
52,0,0.0625,50.346793307782
52,0,0.546875,44.4672265340898
62,60,NaN,66.8997859119991
52,0,0.1953125,93.0196274855457
51,69,NaN,5074.04815707547
52,0,0.3125,49.5089245677118
52,0,0.28125,82.8885740190623
52,99,NaN,61.2391950344735
52,59,NaN,24.7808889160841
51,0,0.75,5880.744114225
52,0,0.5234375,33.0396116702464
61,0,0.5703125,5459.42531679778
62,0,0.6015625,53.0920890332798
52,0,0.578125,36.4468784617202
51,0,0.8671875,3994.42176062733
52,0,0.6328125,45.5067146749491
52,0,0.4921875,27.5290135528091
52,0,0.671875,43.5607208241604
52,0,0.4921875,42.371726031861
62,60,NaN,55.5812997751537
52,0,0.125,40.4295894696326
52,0,0.390625,47.857050593023
52,0,0.265625,41.200630615079
52,0,0.453125,42.272666811221
51,0,0.5234375,5684.0466870479
52,59,NaN,26.6354058993746
