trigger,category,rt,amplitude
51,69,NaN,4194.75999870453
61,0,0.4453125,3519.63576722308
51,0,0.3984375,2840.90418560081
52,99,NaN,68.0478800123708
51,0,0.390625,3478.5212918117
51,69,NaN,3314.55247005939
51,0,0.4296875,2214.20597889754
51,0,0.3984375,2399.50915419263
51,0,0.3515625,2254.76936722496
51,0,0.328125,1818.89270715831
52,60,NaN,155.572481794621
52,0,0.2421875,140.442083099934
52,0,0.4765625,104.256282339984
51,0,0.2578125,2403.85458367048
52,0,0.2578125,89.7968679758379
52,0,0.3984375,124.329712764756
51,0,0.3125,2606.04380036921
51,99,NaN,2814.86042396402
51,0,0.3125,1624.82070547404
52,0,0.234375,72.8432525189141
52,0,0.328125,74.6369769531376
51,0,0.3125,2678.63440492638
51,0,0.2890625,2555.16261163775
51,0,0.296875,2240.63704440945
62,69,NaN,68.6380719933513
51,0,0.328125,1905.05927571559
51,0,0.34375,2655.26519350954
52,0,0.2265625,69.4315696682494
51,0,0.2890625,2872.51366989911
62,60,NaN,84.1636258853347
61,0,0.6015625,1921.40592005917
51,0,0.4296875,1505.35135814343
51,0,0.3359375,2300.67683981928
51,0,0.3203125,1596.42037507223
52,0,0.4921875,68.5687638212582
52,0,0.1875,73.9789051182949
52,0,0.421875,78.6263173872214
52,0,0.359375,125.38027269109
52,60,NaN,114.257640995949
51,0,0.578125,1519.63899141071
51,69,NaN,2022.83821127875
52,60,NaN,102.878975455107
51,69,NaN,2173.95319675854
51,0,0.2578125,2289.28868657287
52,0,0.1796875,79.5928924810846
62,0,0.5625,79.9276228470089
51,0,0.2890625,2068.48885409733
52,0,0.1953125,78.2438338311581
51,69,NaN,1509.10496303542
52,0,0.21875,90.168248551386
52,99,NaN,90.3096020853997
52,0,0.34375,121.585779900686
52,0,0.3984375,98.0424136596689
51,69,NaN,2294.4866807833
52,0,0.59375,107.812564031328
52,0,0.2421875,79.2369728647382
51,0,0.3046875,2017.32457173316
52,0,0.234375,76.9088173340776
62,0,0.53125,168.460545861948
52,0,0.453125,87.8933171047898
62,0,0.703125,60.0573074888147
52,0,0.3046875,58.635356952947
52,60,NaN,126.830055801125
52,0,0.2109375,59.2794673282601
51,0,0.5390625,2413.79525527813
51,0,0.25,2280.95930478887
52,0,0.3515625,80.9122411203388
52,0,0.40625,104.645417618384
51,69,NaN,2047.86516794205
52,0,0.1875,84.3381485686637
51,0,0.3046875,1788.49784019591
51,0,0.5859375,1911.04073591751
51,0,0.4921875,1240.07368517783
51,0,0.2890625,1394.95307976601
52,0,0.2265625,72.2753666158849
52,0,0.203125,72.8783602884009
52,0,0.4140625,103.019964729381
52,0,0.234375,50.7565867949336
52,60,NaN,65.3965234421865
62,59,NaN,42.1177545212275
52,59,NaN,29.3534769939823
51,0,0.609375,2073.09159678875
52,0,0.5390625,96.1320142596185
52,0,0.5234375,78.4938791362949
52,0,0.2109375,60.6064966656435
51,0,0.3046875,2253.13804105677
51,0,0.2890625,2093.64306391303
62,60,NaN,77.584810266602
52,0,0.25,54.001459785704
61,0,0.609375,2124.99857823662
51,0,0.3671875,1679.33048033525
52,60,NaN,86.1078569280174
52,60,NaN,100.566530376136
52,0,0.2265625,89.2610007974079
52,0,0.3046875,54.8228908280593
62,99,NaN,56.71914064247
62,0,0.421875,57.3783696852076
51,0,0.3671875,2431.39021880873
51,0,0.28125,2217.40609971962
52,0,0.1015625,94.1962575243781
52,0,0.3828125,113.216960384441
61,0,0.53125,2585.97302396354
52,0,0.2421875,74.6239925512956
