subjid,isExcluded_Rp,isExcluded_Ts,AN_val_meanRT_Rp,AN_inval_meanRT_Rp,AN_val_sdRT_Rp,AN_inval_sdRT_Rp,AN_val_nErrorTrials_Rp,AN_inval_nErrorTrials_Rp,AN_val_nFpTrials_Rp,AN_inval_nFpTrials_Rp,AN_val_nOl1Trials_Rp,AN_inval_nOl1Trials_Rp,AN_val_nOl2Trials_Rp,AN_inval_nOl2Trials_Rp,AN_val_nOmissionTrials_Rp,AN_inval_nOmissionTrials_Rp,AN_val_nHitTrials_Rp,AN_inval_nHitTrials_Rp,AN_val_nCleanTrials_Rp,AN_inval_nCleanTrials_Rp,AN_val_MeanMaxAmp_Rp,AN_inval_MeanMaxAmp_Rp,AN_val_SdMaxAmp_Rp,AN_inval_SdMaxAmp_Rp,HA_val_meanRT_Rp,HA_inval_meanRT_Rp,HA_val_sdRT_Rp,HA_inval_sdRT_Rp,HA_val_nErrorTrials_Rp,HA_inval_nErrorTrials_Rp,HA_val_nFpTrials_Rp,HA_inval_nFpTrials_Rp,HA_val_nOl1Trials_Rp,HA_inval_nOl1Trials_Rp,HA_val_nOl2Trials_Rp,HA_inval_nOl2Trials_Rp,HA_val_nOmissionTrials_Rp,HA_inval_nOmissionTrials_Rp,HA_val_nHitTrials_Rp,HA_inval_nHitTrials_Rp,HA_val_nCleanTrials_Rp,HA_inval_nCleanTrials_Rp,HA_val_MeanMaxAmp_Rp,HA_inval_MeanMaxAmp_Rp,HA_val_SdMaxAmp_Rp,HA_inval_SdMaxAmp_Rp
VP14,yes,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP15,no,no,0.63209,0.70195,0.20878,0.14444,0,0,0,0,3,1,0,0,4,0,76,20,80,20,9518.2806,8946.7906,6315.3691,3463.0503,0.72636,0.97492,0.27526,0.36239,0,0,1,0,3,0,0,0,1,1,78,19,80,20,357.4008,380.1439,135.477,156.8773
VP16,no,no,0.71655,0.8171,0.22136,0.34711,15,3,0,0,2,2,0,0,1,0,64,17,65,17,2503.6591,2533.8597,615.7044,431.3032,0.71187,0.72813,0.33301,0.31193,13,5,0,0,2,0,0,1,0,0,67,15,67,15,57.0581,54.4109,18.1486,13.235
VP17,no,no,0.87294,1.0068,0.28532,0.38587,8,3,0,1,4,1,0,0,0,0,72,16,72,17,2117.9164,2090.8222,547.4309,803.0598,0.48057,0.67804,0.31287,0.23489,6,1,0,0,4,0,0,1,0,0,74,19,74,19,67.4656,72.3733,19.0181,12.7332
VP18,no,no,0.5931,0.69835,0.20073,0.19229,7,1,0,1,3,1,0,0,1,0,72,18,73,19,5325.4497,5204.9017,1146.1374,1470.066,0.56658,0.95459,0.34233,0.48931,6,2,3,2,3,1,0,0,4,0,67,16,74,18,175.2785,170.3932,81.7314,75.3747
VP19,no,no,0.92562,1.0842,0.35834,0.45022,5,2,1,0,4,0,0,0,1,0,73,18,75,18,2082.8631,1692.1349,1307.5056,1060.1386,0.64432,0.6875,0.2793,0.11556,5,3,0,1,1,1,0,0,1,0,74,16,75,17,92.2802,94.9215,30.0144,39.2504
VP20,no,no,0.68597,0.78054,0.13563,0.093388,34,9,0,0,0,0,0,0,0,0,46,11,46,11,2107.2159,2472.0491,366.7942,379.9924,0.70233,0.94401,0.42232,0.35661,26,7,0,0,2,0,0,1,5,1,49,12,54,13,86.3959,93.0908,36.9282,77.316
VP21,no,no,0.7786,0.80713,0.15234,0.12342,27,4,0,0,2,1,0,0,0,0,53,16,53,16,5300.5773,5273.8284,1167.1752,1319.5218,0.59887,0.84462,0.32701,0.49009,13,0,0,0,4,2,0,0,6,2,61,18,67,20,86.5719,82.6804,31.3873,30.3964
VP22,no,no,0.77457,0.86198,0.30969,0.38735,18,8,0,0,2,1,2,0,0,0,62,12,62,12,3520.5116,3544.2174,1151.1133,1212.8704,0.56937,0.7932,0.33754,0.19886,20,3,0,0,2,0,0,1,2,0,58,17,60,17,70.3365,74.4417,22.5467,25.3735
VP23,no,no,0.58098,0.64909,0.29499,0.26208,12,8,5,0,1,1,0,0,0,0,63,12,68,12,1376.9774,1487.138,847.3629,708.2033,0.76701,0.66094,0.52621,0.49745,13,5,0,0,3,2,0,0,5,0,62,15,67,15,67.1017,74.7637,27.6687,27.6713
VP24,no,no,0.7481,0.82305,0.19097,0.26485,0,0,1,0,1,1,1,0,1,0,78,20,80,20,1944.8043,2166.8764,459.3998,338.5594,0.7847,1.2295,0.19906,0.40798,0,0,1,1,3,1,0,0,11,3,68,16,80,20,290.3592,272.9798,157.2866,196.537
VP25,no,no,0.68505,0.71094,0.35781,0.3512,13,3,0,1,4,1,0,0,0,0,67,16,67,17,1021.6583,1013.0613,493.036,570.1073,0.41667,0.5217,0.24528,0.2149,6,2,0,0,8,1,0,0,2,0,72,18,74,18,113.0848,117.0129,49.2362,48.2177
