subjid,isExcluded_Rp,isExcluded_Ts,AN_val_1_meanRT_Ts_fine,AN_val_2_meanRT_Ts_fine,AN_inval_1_meanRT_Ts_fine,AN_inval_2_meanRT_Ts_fine,AN_inval_3_meanRT_Ts_fine,AN_val_1_sdRT_Ts_fine,AN_val_2_sdRT_Ts_fine,AN_inval_1_sdRT_Ts_fine,AN_inval_2_sdRT_Ts_fine,AN_inval_3_sdRT_Ts_fine,AN_val_1_nErrorTrials_Ts_fine,AN_val_2_nErrorTrials_Ts_fine,AN_inval_1_nErrorTrials_Ts_fine,AN_inval_2_nErrorTrials_Ts_fine,AN_inval_3_nErrorTrials_Ts_fine,AN_val_1_nFpTrials_Ts_fine,AN_val_2_nFpTrials_Ts_fine,AN_inval_1_nFpTrials_Ts_fine,AN_inval_2_nFpTrials_Ts_fine,AN_inval_3_nFpTrials_Ts_fine,AN_val_1_nOl1Trials_Ts_fine,AN_val_2_nOl1Trials_Ts_fine,AN_inval_1_nOl1Trials_Ts_fine,AN_inval_2_nOl1Trials_Ts_fine,AN_inval_3_nOl1Trials_Ts_fine,AN_val_1_nOl2Trials_Ts_fine,AN_val_2_nOl2Trials_Ts_fine,AN_inval_1_nOl2Trials_Ts_fine,AN_inval_2_nOl2Trials_Ts_fine,AN_inval_3_nOl2Trials_Ts_fine,AN_val_1_nOmissionTrials_Ts_fine,AN_val_2_nOmissionTrials_Ts_fine,AN_inval_1_nOmissionTrials_Ts_fine,AN_inval_2_nOmissionTrials_Ts_fine,AN_inval_3_nOmissionTrials_Ts_fine,AN_val_1_nHitTrials_Ts_fine,AN_val_2_nHitTrials_Ts_fine,AN_inval_1_nHitTrials_Ts_fine,AN_inval_2_nHitTrials_Ts_fine,AN_inval_3_nHitTrials_Ts_fine,AN_val_1_nCleanTrials_Ts_fine,AN_val_2_nCleanTrials_Ts_fine,AN_inval_1_nCleanTrials_Ts_fine,AN_inval_2_nCleanTrials_Ts_fine,AN_inval_3_nCleanTrials_Ts_fine,AN_val_1_MeanMaxAmp_Ts_fine,AN_val_2_MeanMaxAmp_Ts_fine,AN_inval_1_MeanMaxAmp_Ts_fine,AN_inval_2_MeanMaxAmp_Ts_fine,AN_inval_3_MeanMaxAmp_Ts_fine,AN_val_1_SdMaxAmp_Ts_fine,AN_val_2_SdMaxAmp_Ts_fine,AN_inval_1_SdMaxAmp_Ts_fine,AN_inval_2_SdMaxAmp_Ts_fine,AN_inval_3_SdMaxAmp_Ts_fine,HA_val_1_meanRT_Ts_fine,HA_val_2_meanRT_Ts_fine,HA_inval_1_meanRT_Ts_fine,HA_inval_2_meanRT_Ts_fine,HA_inval_3_meanRT_Ts_fine,HA_val_1_sdRT_Ts_fine,HA_val_2_sdRT_Ts_fine,HA_inval_1_sdRT_Ts_fine,HA_inval_2_sdRT_Ts_fine,HA_inval_3_sdRT_Ts_fine,HA_val_1_nErrorTrials_Ts_fine,HA_val_2_nErrorTrials_Ts_fine,HA_inval_1_nErrorTrials_Ts_fine,HA_inval_2_nErrorTrials_Ts_fine,HA_inval_3_nErrorTrials_Ts_fine,HA_val_1_nFpTrials_Ts_fine,HA_val_2_nFpTrials_Ts_fine,HA_inval_1_nFpTrials_Ts_fine,HA_inval_2_nFpTrials_Ts_fine,HA_inval_3_nFpTrials_Ts_fine,HA_val_1_nOl1Trials_Ts_fine,HA_val_2_nOl1Trials_Ts_fine,HA_inval_1_nOl1Trials_Ts_fine,HA_inval_2_nOl1Trials_Ts_fine,HA_inval_3_nOl1Trials_Ts_fine,HA_val_1_nOl2Trials_Ts_fine,HA_val_2_nOl2Trials_Ts_fine,HA_inval_1_nOl2Trials_Ts_fine,HA_inval_2_nOl2Trials_Ts_fine,HA_inval_3_nOl2Trials_Ts_fine,HA_val_1_nOmissionTrials_Ts_fine,HA_val_2_nOmissionTrials_Ts_fine,HA_inval_1_nOmissionTrials_Ts_fine,HA_inval_2_nOmissionTrials_Ts_fine,HA_inval_3_nOmissionTrials_Ts_fine,HA_val_1_nHitTrials_Ts_fine,HA_val_2_nHitTrials_Ts_fine,HA_inval_1_nHitTrials_Ts_fine,HA_inval_2_nHitTrials_Ts_fine,HA_inval_3_nHitTrials_Ts_fine,HA_val_1_nCleanTrials_Ts_fine,HA_val_2_nCleanTrials_Ts_fine,HA_inval_1_nCleanTrials_Ts_fine,HA_inval_2_nCleanTrials_Ts_fine,HA_inval_3_nCleanTrials_Ts_fine,HA_val_1_MeanMaxAmp_Ts_fine,HA_val_2_MeanMaxAmp_Ts_fine,HA_inval_1_MeanMaxAmp_Ts_fine,HA_inval_2_MeanMaxAmp_Ts_fine,HA_inval_3_MeanMaxAmp_Ts_fine,HA_val_1_SdMaxAmp_Ts_fine,HA_val_2_SdMaxAmp_Ts_fine,HA_inval_1_SdMaxAmp_Ts_fine,HA_inval_2_SdMaxAmp_Ts_fine,HA_inval_3_SdMaxAmp_Ts_fine
VP36,no,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VP37,no,no,0.53138,0.53027,0.57771,0.57835,0.57528,0.10374,0.16919,0.1659,0.11613,0.10348,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,0,0,0,1,0,0,0,0,0,0,59,32,19,35,33,59,32,19,35,34,5806.9685,5618.7289,5801.49,5912.505,6082.2942,661.8892,724.212,688.836,836.726,1100.8236,0.44191,0.47238,0.45877,0.52885,0.462,0.11428,0.15439,0.097534,0.39044,0.12802,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,1,0,0,1,0,62,28,18,26,44,63,28,18,27,44,47.8082,53.0171,44.8796,49.1878,50.6924,13.3373,9.4206,10.6785,15.3237,11.1644
VP38,no,no,0.60658,0.6182,0.66875,0.61174,0.63658,0.14483,0.29492,0.32832,0.14761,0.24369,3,1,0,0,0,0,0,0,1,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,4,56,31,20,33,29,56,31,20,34,35,1007.4486,977.3543,1028.083,1022.1196,827.217,311.9949,343.4558,368.694,320.3303,367.2808,0.86603,0.81941,0.79836,0.70722,0.74424,0.33442,0.28567,0.48082,0.23983,0.27388,1,1,0,1,0,3,0,0,0,1,2,1,1,0,1,0,0,0,0,0,4,1,0,5,2,54,26,21,21,38,61,27,21,26,41,95.4906,91.7416,84.8117,86.2351,93.3523,40.517,30.3732,34.8142,33.304,38.1243
VP39,no,no,0.53856,0.57392,0.53237,0.57448,0.53865,0.10764,0.14893,0.068745,0.085427,0.068082,2,0,0,0,0,0,1,0,0,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,62,26,21,30,38,62,27,21,30,38,1993.2156,1831.277,1719.4162,1669.1838,1818.4,416.831,544.0089,200.2429,322.7107,361.4622,0.36771,0.38672,0.41699,0.44679,0.44853,0.096167,0.10356,0.060842,0.10112,0.093969,0,0,2,0,0,0,0,0,0,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,60,30,16,37,34,60,30,16,37,34,37.5672,38.9371,39.0532,35.7988,38.4699,6.4197,6.4471,6.1131,6.8486,8.706
VP40,no,no,0.75,0.80312,0.93594,0.80599,0.67746,0.46799,0.31846,0.7155,0.45613,0.28394,24,12,9,22,29,0,0,2,3,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,39,15,5,12,7,39,15,7,15,7,161.9817,152.75,351.8795,311.7735,222.1569,174.9036,80.938,200.6174,282.0042,127.197,1.1236,1.2969,1.2313,1.4013,0.99756,0.74369,0.88744,0.71133,0.63272,0.71833,50,22,2,5,13,3,1,2,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,4,18,25,16,14,5,20,30,19,41.4188,43.1681,51.2818,54.8143,45.2741,19.443,17.1851,24.0497,26.0294,17.4587
VP41,no,no,0.72938,0.70395,0.68273,0.62042,0.62476,0.25728,0.46048,0.15445,0.14867,0.11081,7,8,1,2,3,8,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,50,19,18,29,32,58,19,18,30,33,1006.9079,1203.2977,1373.7589,1293.9397,1448.8482,454.6878,545.0654,436.4349,329.9723,366.3019,0.72287,0.5599,0.53021,0.56342,0.72145,0.40375,0.30133,0.14357,0.29631,0.57596,5,5,2,3,5,0,0,0,0,0,4,1,0,3,2,0,0,0,0,0,2,1,1,1,1,55,24,15,34,26,57,25,16,35,27,60.3758,49.9848,63.1722,63.8814,61.114,24.9322,20.2974,30.4126,18.6198,20.3321
VP42,no,no,0.62935,0.55443,0.57568,0.56984,0.58594,0.29756,0.17955,0.11758,0.095762,0.071085,0,0,1,0,0,0,0,0,0,0,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,61,30,16,33,39,61,30,16,33,39,3023.0239,2640.3452,2952.7271,3100.7067,3660.0485,503.4442,380.9857,341.2325,454.9253,635.242,0.57724,0.50269,0.53906,0.47555,0.45855,0.30599,0.25483,0.19893,0.12108,0.067563,0,0,2,0,0,0,0,0,0,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,1,62,29,18,31,36,62,29,18,31,37,82.9455,83.0013,79.1485,82.0496,94.5756,23.7132,22.2684,20.6909,18.4584,25.6901
VP43,no,no,0.76983,0.71417,0.83774,0.69712,0.53125,0.33694,0.30247,0.31571,0.26281,0.24865,6,5,5,7,4,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,52,29,13,26,33,52,29,13,26,33,71.8858,81.3702,75.2348,78.5842,69.1686,10.0842,13.5899,14.6059,34.1509,17.6091,1.1088,1.1499,1.1172,1.2816,1.0705,0.53064,0.61238,0.69147,0.50324,0.57031,8,4,3,2,2,3,3,2,2,3,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,51,22,16,20,38,54,25,18,22,41,37.8104,33.4653,33.9074,41.5909,42.4676,20.7229,18.2727,17.0658,17.1165,17.8788
VP44,no,no,0.35028,0.3724,0.36328,0.34044,0.31394,0.063263,0.06858,0.051977,0.083127,0.067202,1,1,0,1,1,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,61,30,20,26,38,61,30,20,26,38,479.196,514.8408,509.2609,537.6321,514.1329,448.7734,577.8999,486.4023,546.2468,350.9267,0.32018,0.30398,0.30382,0.28251,0.31185,0.10655,0.037891,0.057215,0.050955,0.13814,1,0,0,0,1,0,0,0,0,0,3,2,1,1,1,0,0,0,1,0,0,0,0,0,1,59,33,18,31,36,59,33,18,31,37,72.1468,76.1358,101.7117,88.9157,94.0851,20.9237,41.0447,48.1001,24.1342,45.1516
VP45,no,no,0.53216,0.48872,0.61121,0.56424,0.54154,0.24482,0.11831,0.29422,0.29495,0.19401,1,1,1,1,0,0,1,0,0,0,3,1,2,2,3,0,0,0,0,0,1,0,0,0,1,60,27,17,27,41,61,28,17,27,42,1171.3575,1367.5803,1230.5553,1314.9302,1714.1703,765.8615,850.1429,901.0588,790.8457,874.7089,0.37632,0.35254,0.33026,0.30469,0.32292,0.14299,0.077664,0.095354,0.070341,0.093274,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,59,32,22,31,33,60,32,22,31,33,85.6602,93.9048,86.2273,84.8452,90.4607,15.0476,32.1659,10.1543,16.3817,12.198
VP46,no,no,0.33716,0.32422,0.36758,0.35757,0.36358,0.039524,0.038149,0.05838,0.0393,0.039991,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,2,0,0,0,0,1,64,30,20,26,39,64,30,20,26,40,1732.3694,1537.4744,1885.4949,2053.5158,2278.342,350.7855,299.3659,630.4429,680.8155,526.237,0.36276,0.33641,0.34863,0.36512,0.37218,0.061673,0.068775,0.065419,0.052472,0.074705,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,60,33,16,34,36,60,33,16,34,36,170.666,160.5106,166.7703,175.8888,182.3167,23.8154,21.164,22.1379,21.6931,19.6097
