subjid,isExcluded_Rp,isExcluded_Ts,AN_val_1_meanRT_Ts_fine,AN_val_2_meanRT_Ts_fine,AN_inval_1_meanRT_Ts_fine,AN_inval_2_meanRT_Ts_fine,AN_inval_3_meanRT_Ts_fine,AN_val_1_sdRT_Ts_fine,AN_val_2_sdRT_Ts_fine,AN_inval_1_sdRT_Ts_fine,AN_inval_2_sdRT_Ts_fine,AN_inval_3_sdRT_Ts_fine,AN_val_1_nErrorTrials_Ts_fine,AN_val_2_nErrorTrials_Ts_fine,AN_inval_1_nErrorTrials_Ts_fine,AN_inval_2_nErrorTrials_Ts_fine,AN_inval_3_nErrorTrials_Ts_fine,AN_val_1_nFpTrials_Ts_fine,AN_val_2_nFpTrials_Ts_fine,AN_inval_1_nFpTrials_Ts_fine,AN_inval_2_nFpTrials_Ts_fine,AN_inval_3_nFpTrials_Ts_fine,AN_val_1_nOl1Trials_Ts_fine,AN_val_2_nOl1Trials_Ts_fine,AN_inval_1_nOl1Trials_Ts_fine,AN_inval_2_nOl1Trials_Ts_fine,AN_inval_3_nOl1Trials_Ts_fine,AN_val_1_nOl2Trials_Ts_fine,AN_val_2_nOl2Trials_Ts_fine,AN_inval_1_nOl2Trials_Ts_fine,AN_inval_2_nOl2Trials_Ts_fine,AN_inval_3_nOl2Trials_Ts_fine,AN_val_1_nOmissionTrials_Ts_fine,AN_val_2_nOmissionTrials_Ts_fine,AN_inval_1_nOmissionTrials_Ts_fine,AN_inval_2_nOmissionTrials_Ts_fine,AN_inval_3_nOmissionTrials_Ts_fine,AN_val_1_nHitTrials_Ts_fine,AN_val_2_nHitTrials_Ts_fine,AN_inval_1_nHitTrials_Ts_fine,AN_inval_2_nHitTrials_Ts_fine,AN_inval_3_nHitTrials_Ts_fine,AN_val_1_nCleanTrials_Ts_fine,AN_val_2_nCleanTrials_Ts_fine,AN_inval_1_nCleanTrials_Ts_fine,AN_inval_2_nCleanTrials_Ts_fine,AN_inval_3_nCleanTrials_Ts_fine,AN_val_1_MeanMaxAmp_Ts_fine,AN_val_2_MeanMaxAmp_Ts_fine,AN_inval_1_MeanMaxAmp_Ts_fine,AN_inval_2_MeanMaxAmp_Ts_fine,AN_inval_3_MeanMaxAmp_Ts_fine,AN_val_1_SdMaxAmp_Ts_fine,AN_val_2_SdMaxAmp_Ts_fine,AN_inval_1_SdMaxAmp_Ts_fine,AN_inval_2_SdMaxAmp_Ts_fine,AN_inval_3_SdMaxAmp_Ts_fine,HA_val_1_meanRT_Ts_fine,HA_val_2_meanRT_Ts_fine,HA_inval_1_meanRT_Ts_fine,HA_inval_2_meanRT_Ts_fine,HA_inval_3_meanRT_Ts_fine,HA_val_1_sdRT_Ts_fine,HA_val_2_sdRT_Ts_fine,HA_inval_1_sdRT_Ts_fine,HA_inval_2_sdRT_Ts_fine,HA_inval_3_sdRT_Ts_fine,HA_val_1_nErrorTrials_Ts_fine,HA_val_2_nErrorTrials_Ts_fine,HA_inval_1_nErrorTrials_Ts_fine,HA_inval_2_nErrorTrials_Ts_fine,HA_inval_3_nErrorTrials_Ts_fine,HA_val_1_nFpTrials_Ts_fine,HA_val_2_nFpTrials_Ts_fine,HA_inval_1_nFpTrials_Ts_fine,HA_inval_2_nFpTrials_Ts_fine,HA_inval_3_nFpTrials_Ts_fine,HA_val_1_nOl1Trials_Ts_fine,HA_val_2_nOl1Trials_Ts_fine,HA_inval_1_nOl1Trials_Ts_fine,HA_inval_2_nOl1Trials_Ts_fine,HA_inval_3_nOl1Trials_Ts_fine,HA_val_1_nOl2Trials_Ts_fine,HA_val_2_nOl2Trials_Ts_fine,HA_inval_1_nOl2Trials_Ts_fine,HA_inval_2_nOl2Trials_Ts_fine,HA_inval_3_nOl2Trials_Ts_fine,HA_val_1_nOmissionTrials_Ts_fine,HA_val_2_nOmissionTrials_Ts_fine,HA_inval_1_nOmissionTrials_Ts_fine,HA_inval_2_nOmissionTrials_Ts_fine,HA_inval_3_nOmissionTrials_Ts_fine,HA_val_1_nHitTrials_Ts_fine,HA_val_2_nHitTrials_Ts_fine,HA_inval_1_nHitTrials_Ts_fine,HA_inval_2_nHitTrials_Ts_fine,HA_inval_3_nHitTrials_Ts_fine,HA_val_1_nCleanTrials_Ts_fine,HA_val_2_nCleanTrials_Ts_fine,HA_inval_1_nCleanTrials_Ts_fine,HA_inval_2_nCleanTrials_Ts_fine,HA_inval_3_nCleanTrials_Ts_fine,HA_val_1_MeanMaxAmp_Ts_fine,HA_val_2_MeanMaxAmp_Ts_fine,HA_inval_1_MeanMaxAmp_Ts_fine,HA_inval_2_MeanMaxAmp_Ts_fine,HA_inval_3_MeanMaxAmp_Ts_fine,HA_val_1_SdMaxAmp_Ts_fine,HA_val_2_SdMaxAmp_Ts_fine,HA_inval_1_SdMaxAmp_Ts_fine,HA_inval_2_SdMaxAmp_Ts_fine,HA_inval_3_SdMaxAmp_Ts_fine,nTs_fineTrials
VP33,no,no,0.7618,0.60875,0.31611,0.44615,0.37231,0.62257,0.61331,0.063758,0.28987,0.12715,5,3,3,4,1,8,1,2,3,3,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,49,25,13,28,32,57,26,15,31,35,232.2924,162.4542,232.4275,349.7919,313.4124,245.8395,153.4042,263.9428,407.0768,262.8986,0.49922,0.41898,0.48197,0.46191,0.39683,0.50804,0.2784,0.255,0.2915,0.37427,13,1,1,1,2,0,0,0,0,0,4,2,0,1,2,0,0,0,0,0,0,0,0,0,0,50,27,13,32,39,50,27,13,32,39,21.1263,17.4345,20.139,21.4275,20.157,25.019,9.7013,15.797,7.9517,9.2007,359
VP34,no,no,0.51473,0.53348,0.52716,0.52748,0.58617,0.09312,0.084675,0.08237,0.082538,0.21372,0,1,0,0,0,2,0,0,1,2,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1,61,28,21,29,34,63,28,21,30,37,3998.5635,3820.2763,3995.4157,4768.3953,4585.4404,1155.8103,868.548,742.7081,1410.4209,1827.7998,0.42682,0.41953,0.47656,0.47144,0.45545,0.1206,0.090137,0.073288,0.1126,0.1294,1,0,0,2,1,0,0,0,0,0,4,1,0,1,1,1,1,1,0,1,0,0,0,0,0,60,30,16,32,37,60,30,16,32,37,73.1262,73.8894,87.1534,87.2484,94.3393,17.7885,16.9113,24.7278,15.6898,20.8551,359
VP35,no,no,0.68855,0.66484,0.62952,0.65031,0.70753,0.16184,0.1564,0.1194,0.14492,0.16362,8,2,0,2,1,0,0,0,0,1,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,52,30,19,25,39,52,30,19,25,40,2457.3851,2230.0579,2633.1362,2954.8634,3214.5728,794.1985,725.9139,486.1416,747.9324,791.9179,0.39583,0.46498,0.47514,0.42425,0.48568,0.18273,0.259,0.30346,0.15108,0.20418,0,3,0,5,2,0,0,0,0,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,60,29,22,23,36,60,29,22,23,36,55.7494,51.5812,60.0692,57.2214,55.1956,18.1521,13.5551,27.8865,16.4917,15.2036,359
VP36,no,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
VP37,no,no,0.53919,0.53809,0.58553,0.58616,0.5831,0.10374,0.16919,0.1659,0.11613,0.10348,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,0,0,0,1,0,0,0,0,0,0,59,32,19,35,33,59,32,19,35,34,5806.9685,5618.7289,5801.49,5912.505,6082.2942,661.8892,724.212,688.836,836.726,1100.8236,0.41989,0.43331,0.42578,0.40943,0.4517,0.10592,0.1199,0.09418,0.090831,0.12506,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0,63,28,18,27,44,63,28,18,27,44,47.8082,53.0171,44.8796,49.1878,50.6924,13.3373,9.4206,10.6785,15.3237,11.1644,359
VP38,no,no,0.58432,0.61963,0.67656,0.62256,0.6444,0.17616,0.29236,0.32832,0.14894,0.24369,1,0,0,1,0,0,0,0,1,4,1,2,2,2,3,3,0,0,0,0,0,0,0,0,2,58,32,20,32,29,58,32,20,33,35,1007.4486,977.3543,1028.083,1022.1196,827.217,311.9949,343.4558,368.694,320.3303,367.2808,0.63242,0.59152,0.57924,0.53906,0.56816,0.20547,0.19295,0.18744,0.21025,0.1972,1,0,0,1,1,1,0,0,0,0,3,1,1,1,2,1,1,0,1,0,1,0,0,0,0,59,28,21,26,40,61,28,21,26,40,95.4906,91.7416,84.8117,86.2351,93.3523,40.517,30.3732,34.8142,33.304,38.1243,359
VP39,no,no,0.54427,0.58173,0.54018,0.58405,0.54392,0.10806,0.14893,0.068745,0.086384,0.067164,1,0,0,1,1,0,1,0,0,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,63,26,21,29,37,63,27,21,29,37,1993.2156,1831.277,1719.4162,1669.1838,1818.4,416.831,544.0089,200.2429,322.7107,361.4622,0.34375,0.36068,0.38428,0.42433,0.40199,0.085175,0.088032,0.070238,0.10803,0.09756,1,0,2,2,1,0,0,0,0,0,3,1,0,2,0,1,0,1,1,1,0,0,0,0,0,59,30,16,35,33,59,30,16,35,33,37.5672,38.9371,39.0532,35.7988,38.4699,6.4197,6.4471,6.1131,6.8486,8.706,359
VP40,no,no,0.75,0.6658,0.47236,0.46202,0.43313,0.54358,0.35783,0.5813,0.43054,0.32396,2,0,1,5,2,0,0,2,3,0,6,2,1,1,2,0,0,0,0,0,0,0,0,0,0,61,27,13,29,34,61,27,15,32,34,161.9817,152.75,351.8795,311.7735,222.1569,174.9036,80.938,200.6174,282.0042,127.197,0.43253,0.38542,0.52939,0.733,0.34115,0.31352,0.32535,0.28595,0.5811,0.28382,9,3,1,0,2,0,0,0,1,0,2,1,0,2,3,0,0,0,0,0,0,0,0,0,0,55,24,21,34,30,55,24,21,35,30,41.4188,43.1681,51.2818,54.8143,45.2741,19.443,17.1851,24.0497,26.0294,17.4587,359
VP41,no,no,0.72592,0.66122,0.69189,0.59609,0.64537,0.25835,0.22458,0.15633,0.10524,0.13177,10,4,3,1,7,6,1,0,1,1,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,49,22,16,30,28,55,23,16,31,29,1006.9079,1203.2977,1373.7589,1293.9397,1448.8482,454.6878,545.0654,436.4349,329.9723,366.3019,0.35952,0.23031,0.2952,0.37427,0.3917,0.2523,0.13906,0.14262,0.24898,0.22465,7,5,4,6,3,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,55,25,14,32,29,55,25,14,32,29,60.3758,49.9848,63.1722,63.8814,61.114,24.9322,20.2974,30.4126,18.6198,20.3321,359
VP42,no,no,0.63717,0.56224,0.59099,0.57593,0.59334,0.29756,0.17955,0.11796,0.096772,0.071992,0,0,0,1,1,0,0,0,0,0,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,61,30,17,32,38,61,30,17,32,38,3023.0239,2640.3452,2952.7271,3100.7067,3660.0485,503.4442,380.9857,341.2325,454.9253,635.242,0.51703,0.43588,0.45313,0.4526,0.44965,0.20126,0.12727,0.12686,0.11041,0.063316,1,0,0,1,1,0,0,0,0,0,3,1,1,1,1,0,1,1,0,1,0,0,0,0,0,61,29,20,30,36,61,29,20,30,36,82.9455,83.0013,79.1485,82.0496,94.5756,23.7132,22.2684,20.6909,18.4584,25.6901,359
VP43,no,no,0.78044,0.73722,0.7901,0.62392,0.48323,0.32547,0.31217,0.35907,0.27683,0.21177,0,1,3,4,3,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,58,33,15,29,34,58,33,15,29,34,71.8858,81.3702,75.2348,78.5842,69.1686,10.0842,13.5899,14.6059,34.1509,17.6091,0.55006,0.49469,0.31289,0.55827,0.47409,0.4044,0.43296,0.25255,0.40444,0.31685,8,4,1,0,2,0,0,0,0,0,4,2,1,2,3,0,0,0,0,0,0,0,0,0,0,54,25,20,24,41,54,25,20,24,41,37.8104,33.4653,33.9074,41.5909,42.4676,20.7229,18.2727,17.0658,17.1165,17.8788,359
VP44,no,no,0.35771,0.38281,0.37109,0.34954,0.32113,0.063471,0.068969,0.051977,0.081783,0.067763,1,0,0,0,1,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,61,31,20,27,38,61,31,20,27,38,479.196,514.8408,509.2609,537.6321,514.1329,448.7734,577.8999,486.4023,546.2468,350.9267,0.28721,0.29284,0.27865,0.27722,0.27488,0.061504,0.050826,0.068318,0.05248,0.066387,1,2,0,0,0,0,0,0,0,0,4,1,0,1,2,1,1,1,1,1,0,0,0,0,0,59,31,18,31,38,59,31,18,31,38,72.1468,76.1358,101.7117,88.9157,94.0851,20.9237,41.0447,48.1001,24.1342,45.1516,359
VP45,no,no,0.5384,0.49749,0.60764,0.56752,0.54935,0.24742,0.11621,0.2895,0.29043,0.19401,2,0,0,0,0,1,1,0,0,1,3,1,2,2,3,0,0,0,0,0,0,0,0,0,0,59,28,18,28,41,60,29,18,28,42,1171.3575,1367.5803,1230.5553,1314.9302,1714.1703,765.8615,850.1429,901.0588,790.8457,874.7089,0.36771,0.34814,0.32706,0.29736,0.31416,0.14604,0.07845,0.094469,0.068653,0.093112,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,60,32,22,32,33,60,32,22,32,33,85.6602,93.9048,86.2273,84.8452,90.4607,15.0476,32.1659,10.1543,16.3817,12.198,359
VP46,no,no,0.34497,0.33203,0.37539,0.36538,0.37139,0.039524,0.038149,0.05838,0.0393,0.039991,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,1,0,0,0,2,0,0,0,0,0,64,30,20,26,39,64,30,20,26,40,1732.3694,1537.4744,1885.4949,2053.5158,2278.342,350.7855,299.3659,630.4429,680.8155,526.237,0.29792,0.27888,0.30029,0.31204,0.31185,0.053982,0.0433,0.052831,0.04707,0.061271,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,60,33,16,34,36,60,33,16,34,36,170.666,160.5106,166.7703,175.8888,182.3167,23.8154,21.164,22.1379,21.6931,19.6097,359
