trigger,category,rt,amplitude
52,0,0.6015625,59.335821649851
52,60,NaN,62.1758762080242
51,69,NaN,3255.29355543334
51,60,NaN,2261.15074543839
51,69,NaN,2364.53574501236
52,0,0.5546875,35.7976645504925
52,99,NaN,49.7615669691054
51,0,0.875,2871.65147012685
51,69,NaN,2365.42894060368
51,0,0.3515625,1798.54331851883
51,0,0.5625,1917.42366821536
52,0,1.03125,41.2355580285318
52,60,NaN,63.7542676747598
52,0,0.578125,71.0544418441503
52,0,0.296875,92.2151906821629
52,0,0.8203125,77.1346583914106
51,0,0.5546875,3125.04018868665
62,69,NaN,50.3733616082153
62,69,NaN,54.4771092574811
51,60,NaN,2155.48908181249
51,69,NaN,708.643147550177
52,60,NaN,174.33823020819
52,60,NaN,92.0876873019317
51,0,0.71875,1983.32352007066
52,60,NaN,46.6526203877021
51,60,NaN,1662.79593769237
51,60,NaN,1735.16221611386
51,69,NaN,1551.34044407479
52,60,NaN,99.0898818794158
51,0,0.8515625,1479.4400738091
52,0,1.25,34.7433380300341
51,60,NaN,1653.53651056266
61,0,0.8203125,1635.43662191317
51,0,0.9453125,1374.97246910653
51,69,NaN,1522.79999371588
51,60,NaN,1276.17437714613
51,60,NaN,1218.52564671202
62,69,NaN,132.849947934796
52,0,0.015625,52.7185514548681
62,69,NaN,48.6405746199402
52,59,NaN,26.7073860776433
61,0,0.9609375,1866.86400382558
51,69,NaN,1414.59508020675
52,0,0.4609375,72.3030350634643
51,69,NaN,1504.59997327787
52,0,1.15625,68.309314054913
52,59,NaN,30.2939807918911
62,0,0.9296875,63.0184112745752
62,60,NaN,93.2152612866366
52,60,NaN,83.396563891014
61,69,NaN,2073.76102074833
51,69,NaN,1526.98564657191
61,50,NaN,116.409461740789
51,69,NaN,1779.5102364601
52,60,NaN,85.4149748532826
51,60,NaN,1725.47677200618
51,60,NaN,1322.69044389244
52,0,1.3203125,52.3132501697201
51,69,NaN,1553.99862483608
51,69,NaN,1580.41000999874
51,69,NaN,1356.99816656982
51,0,0.4609375,1353.63464163529
52,99,NaN,38.1703235203305
52,60,NaN,91.4289714432292
52,60,NaN,125.703319105444
52,0,0.4921875,52.2721317818781
51,69,NaN,2211.21005053834
51,0,0.953125,2286.92291643495
52,0,0.4609375,71.0031728790809
62,60,NaN,65.3392430488008
52,0,1.359375,130.857925524126
51,69,NaN,2285.05941866966
51,69,NaN,1642.6058067756
52,0,1.046875,51.9204170507363
52,60,NaN,89.3681452991261
51,69,NaN,1820.4934942433
51,0,0.6015625,1761.09858546843
52,0,0.390625,70.9251569500943
62,0,0.65625,52.2783189755994
51,0,0.9296875,2018.14972585914
52,60,NaN,116.077342341651
61,0,0.671875,1364.67765483059
51,60,NaN,1012.41435730126
51,0,0.46875,1346.60107694283
51,0,0.7578125,1196.6577096583
52,0,0.6484375,56.8133864951184
61,0,0.8046875,1332.20218047066
52,0,0.09375,77.8114618441601
52,0,0.6640625,87.131627142248
51,60,NaN,1556.54405165974
61,69,NaN,1817.22159981247
52,0,0.59375,59.6353390162759
52,59,NaN,36.2435360568345
61,69,NaN,2276.8639841271
51,0,1.046875,1983.24579499941
51,69,NaN,1735.90600655657
61,0,0.6796875,1531.83526809089
62,60,NaN,61.0451948950618
52,60,NaN,78.8882239974742
52,59,NaN,40.1935773970976
52,60,NaN,132.35833530062
51,60,NaN,1514.1532991641
52,0,0.765625,96.5713012488886
52,0,0.015625,43.5817212387513
52,60,NaN,91.371886494164
61,0,0.6875,1928.80071330107
51,59,NaN,177.186212417589
52,0,1.390625,75.2581379788196
61,50,NaN,77.543370258424
51,50,NaN,65.4303960391136
52,59,NaN,33.8682283577442
61,50,NaN,95.830428091335
51,99,NaN,3080.59398520269
52,0,1.546875,46.314275157381
51,60,NaN,1968.34844679241
51,69,NaN,1468.66476009592
51,69,NaN,1352.99493577321
52,99,NaN,51.0256373265031
51,60,NaN,595.901393062828
62,0,0.6484375,67.3343560410555
52,69,NaN,61.513009163488
62,60,NaN,58.1875970788963
61,59,NaN,215.918313131081
52,69,NaN,65.1872498057801
51,0,0.7109375,1326.60656078214
61,91,NaN,924.304767389869
51,69,NaN,1298.67545735566
51,0,1.1875,1723.27799687776
51,69,NaN,1745.98610981874
52,0,0.5546875,75.9633051062781
52,59,NaN,34.0905495191031
51,0,0.609375,1776.45901696869
52,60,NaN,71.5458991265869
51,69,NaN,1938.23644601619
62,60,NaN,62.5665734075758
51,0,0.609375,1088.45693452397
52,0,0.8515625,47.4176352380114
51,59,NaN,78.7868780372487
52,0,0.796875,36.4123303372071
61,99,NaN,2024.25499688107
62,0,1.2109375,60.4078746152731
52,59,NaN,29.9492660840574
51,0,0.96875,2118.34502206921
61,0,1.0078125,2108.51191469823
52,0,1.4921875,71.3715715229297
52,60,NaN,41.0747150336158
52,60,NaN,41.1886357083249
51,0,0.390625,1938.93351566657
52,60,NaN,79.9052033915815
51,69,NaN,2210.53432977092
51,0,1.0390625,1889.07534067647
52,0,1.3515625,48.04452447724
51,69,NaN,1589.57041745999
52,0,0.234375,47.5528540595806
52,0,0.328125,74.3238778019652
52,60,NaN,125.178457116271
51,69,NaN,2457.12275189966
62,69,NaN,81.4441054042099
51,69,NaN,1839.40071061466
51,60,NaN,1398.71899373577
52,0,1.0546875,66.2834634439062
51,0,0.6484375,1672.99261100737
61,69,NaN,1787.29347574093
52,0,0.1015625,74.4257913488455
62,69,NaN,69.3385251962053
52,60,NaN,98.0151416749178
62,69,NaN,49.2527320187037
51,60,NaN,1654.36041160535
51,60,NaN,1485.91583715861
52,0,0.5234375,54.351115223894
51,0,0.34375,1536.50900290523
62,0,2.203125,53.2479746814977
61,0,0.84375,1792.07668069871
51,0,0.7734375,1515.28062622512
52,60,NaN,93.8802399537178
61,69,NaN,1665.6797157979
51,50,NaN,45.6722211536714
51,60,NaN,1225.39121989557
52,0,0.46875,49.5782789947923
52,0,0.71875,72.0353724344777
62,60,NaN,70.4857372602106
52,59,NaN,28.96561994858
62,60,NaN,78.4011858510917
51,59,NaN,71.5645126913267
61,0,0.78125,2596.12371511057
52,60,NaN,205.995637137471
52,0,0.15625,97.1384160710577
