trigger,category,rt,amplitude
61,0,0.8046875,2808.43520589179
52,0,0.5859375,92.535600762372
51,99,NaN,3158.99485977899
51,0,0.8828125,1961.14954839706
51,69,NaN,2505.27125982646
52,60,NaN,266.01582606408
52,0,0.015625,162.546334775209
51,0,0.7890625,2625.80840994939
61,0,0.953125,1565.94796648718
51,69,NaN,1088.8572799058
52,0,0.6328125,39.3783908810777
52,60,NaN,94.650110531955
52,0,0.484375,132.736731456429
52,99,NaN,52.3563527837353
52,59,NaN,18.0018683848877
52,0,1,38.7560080705673
52,59,NaN,13.1496921804677
51,69,NaN,4961.75074782994
51,50,NaN,283.324199144416
52,60,NaN,60.0303250099463
51,0,0.5546875,2570.9138807793
62,60,NaN,255.418152049139
51,69,NaN,1707.83618922687
52,0,1.1796875,55.7222383118925
52,60,NaN,51.0696944075801
52,99,NaN,27.5770427313591
51,0,0.4921875,2078.23306396638
62,0,0.984375,30.4720327921795
52,59,NaN,25.1465671504227
62,0,0.875,26.4692213246712
52,0,0.203125,40.3787519630068
51,0,0.515625,1600.74485681459
52,0,0.328125,43.4650990905684
52,99,NaN,34.1043088385383
62,0,0.65625,51.0693856483565
52,0,0.2109375,46.8064552553746
51,0,0.46875,1842.0218066385
52,69,NaN,86.8663649827366
51,69,NaN,1008.89071955273
61,0,1.0625,1441.57670601396
61,69,NaN,1298.08062475451
51,0,0.390625,2167.10748371901
51,0,0.484375,1042.66943269396
51,0,0.4296875,1904.95595345567
61,0,0.8671875,1883.38340318274
51,69,NaN,1392.63274234099
51,69,NaN,1450.99341404489
51,0,0.515625,1121.62431232705
52,60,NaN,62.0075384961094
51,0,0.734375,1397.38160935113
51,69,NaN,991.156512458455
51,69,NaN,1746.8749408377
52,0,0.7109375,35.257501834468
52,99,NaN,42.7129377124804
52,59,NaN,23.7404460234177
51,0,0.5625,1699.95896480754
52,60,NaN,70.5737232092042
51,0,0.390625,3345.90021691638
61,0,1.1640625,1251.24877502363
52,0,0.3515625,50.6290552678719
51,69,NaN,1498.90617247094
62,60,NaN,132.307499605184
51,69,NaN,956.97194461052
52,60,NaN,101.37438638604
62,99,NaN,31.5140179875632
62,60,NaN,102.533301951869
51,69,NaN,1881.6851749071
52,0,0.484375,28.724408417712
52,59,NaN,20.8677767802167
51,69,NaN,1946.94612608198
51,0,0.75,1162.99393704252
51,0,0.4453125,1987.12904949443
61,69,NaN,706.392254600449
51,91,NaN,539.721813039658
52,60,NaN,49.4117048955331
51,0,0.6328125,1443.25574992329
52,60,NaN,68.1963067829956
51,69,NaN,1311.6968706851
52,0,0.875,37.556889420969
52,0,0.3515625,31.4992801444317
52,99,NaN,25.6119630600991
51,0,0.546875,2199.94802245934
51,0,0.578125,728.300395400851
52,0,0.34375,27.3832590752822
61,0,0.765625,1113.69984434058
51,0,0.3828125,1381.68071652372
51,69,NaN,1158.5685760328
51,69,NaN,782.139100299783
51,0,0.5859375,1049.29471725522
52,60,NaN,79.7206295450848
52,60,NaN,67.6647870389559
61,0,0.8359375,1318.44784234473
51,0,0.609375,1049.93018274375
51,69,NaN,1280.25862524922
52,60,NaN,50.9666694669604
52,59,NaN,21.6040311222093
51,0,0.484375,1756.9354158644
51,0,0.4453125,1256.45213156994
62,60,NaN,35.0679816873339
52,0,0.53125,64.2359593776
51,0,0.5390625,1487.14283496484
62,0,0.671875,46.2611978688593
51,0,0.7421875,1805.71769340506
51,0,0.484375,1334.72376801207
52,60,NaN,48.86428143881
52,0,0.359375,26.7284973423214
51,99,NaN,1870.50912694757
61,99,NaN,1434.26352151696
61,0,0.7578125,1878.69897494364
52,60,NaN,61.3191536205392
52,0,1.078125,29.5658108156927
52,0,0.421875,28.1865800678468
62,0,0.1171875,60.5014707462648
52,0,0.546875,46.1881988412395
62,60,NaN,78.2384733636629
52,0,0.34375,66.5183822239015
52,60,NaN,41.3005866116443
51,0,0.6796875,2454.97204134681
52,0,0.671875,74.0087833065337
51,69,NaN,2600.41937011136
61,69,NaN,869.365792278255
62,0,0.921875,42.3475760741249
52,60,NaN,39.200118542044
51,99,NaN,1371.46109657577
51,69,NaN,1116.72034972081
62,60,NaN,121.228986035377
61,0,0.8984375,1198.92207655486
61,0,0.796875,1937.26952247966
51,69,NaN,1501.65807851538
52,60,NaN,80.0986995699618
62,0,1.6796875,53.54587197685
52,0,0.515625,39.2698930354963
51,0,0.7421875,2395.38169838961
51,0,0.4765625,1552.60210778651
52,0,0.53125,43.6345184453358
51,0,0.671875,1455.25781799
52,59,NaN,24.4305928702614
62,0,0.7890625,72.8364747280109
61,0,0.75,1807.57724016354
52,60,NaN,61.9109320068337
52,0,0.546875,33.2198145436676
51,0,0.4375,2586.31560114573
51,69,NaN,1516.56537775559
52,60,NaN,78.0929978403636
51,0,0.4453125,1648.5471560844
52,0,0.359375,45.9546925378145
52,0,0.1796875,41.6551891960792
61,69,NaN,2044.51318057582
52,0,0.28125,63.9806483836051
61,0,0.859375,1810.98853578359
51,0,0.640625,2122.04235225965
51,0,0.4453125,949.049460529868
52,60,NaN,39.1673859426182
52,59,NaN,23.1149452946656
51,0,0.5,1893.95485939355
51,0,0.765625,1229.9881404986
52,0,0.5234375,45.2013360565075
52,0,0.5625,36.6092912862734
52,0,0.296875,27.8767253076894
52,0,0.4609375,35.5587123326599
52,59,NaN,22.8301887205272
52,0,0.53125,35.5772213479226
51,0,0.4296875,3337.93762021294
62,0,0.59375,33.0036419170572
52,0,0.3203125,43.3421382252243
51,0,0.5,2596.86496588625
52,0,0.3671875,26.5641851719674
51,0,0.4609375,2267.51822450964
52,0,0.3828125,54.9841327866878
61,0,0.8046875,1958.68387520812
51,69,NaN,1481.31339844856
52,0,0.3515625,26.6205661018468
51,0,0.5,1623.30199919666
51,0,0.4375,1318.39720893498
52,0,0.4140625,35.1484920927048
52,0,0.296875,71.6999506868813
51,0,0.53125,2053.45716984595
52,0,0.3046875,28.6450819778117
51,0,0.453125,2285.93334216225
62,0,0.7421875,49.4699181047769
61,0,0.7265625,2270.46732810158
62,60,NaN,41.6137402061995
52,60,NaN,45.8829547252249
51,0,0.7421875,2528.66635096216
51,0,0.4765625,1750.41676528217
62,0,0.5546875,45.8920482292273
52,0,0.453125,26.4842144621173
51,0,0.4921875,2037.77165541091
61,69,NaN,202.020529484665
52,60,NaN,55.3621528587481
51,0,0.640625,2357.86476166733
52,0,0.375,46.5686121812728
51,0,0.4921875,2089.62939830927
51,0,0.5,1890.64402691176
51,69,NaN,1071.44363449919
