subjid,isExcluded_Rp,isExcluded_Ts,AN_val_propOm_Rp,AN_inval_propOm_Rp,AN_val_propHit_Rp,AN_inval_propHit_Rp,AN_val_propFP_Rp,AN_inval_propFP_Rp,AN_val_propOl_Rp,AN_inval_propOl_Rp,AN_val_propErrors_Rp,AN_inval_propErrors_Rp,HA_val_propOm_Rp,HA_inval_propOm_Rp,HA_val_propHit_Rp,HA_inval_propHit_Rp,HA_val_propFP_Rp,HA_inval_propFP_Rp,HA_val_propOl_Rp,HA_inval_propOl_Rp,HA_val_propErrors_Rp,HA_inval_propErrors_Rp,nOmTrials_Rp,nHitTrials_Rp,nFPTrials_Rp,nOlTrials_Rp,nErrTrials_Rp,propErrors_Rp
VP30,no,no,0,0,1,1,0,0,0.039216,0,0.3625,0.3,0.1,0,0.9,0.91667,0,0.083333,0.05,0,0.25,0.4,6,130,1,5,63,0.315
VP31,no,no,0,0,1,1,0,0,0.030769,0.052632,0.1875,0.05,0.016129,0.055556,0.98387,0.94444,0,0,0.048387,0.055556,0.225,0.1,2,162,0,7,36,0.18
VP32,no,no,0,0,1,1,0,0,0.038961,0.05,0.0375,0,0.076923,0,0.92308,1,0,0,0.038462,0.05,0.025,0,6,189,0,8,5,0.025
VP33,no,no,0,0,1,1,0,0,0.038961,0.052632,0.0375,0.05,0,0.05,1,0.95,0,0,0.025316,0.05,0.0125,0,1,194,0,7,5,0.025
VP34,no,no,0,0,1,1,0,0,0.037037,0.066667,0.325,0.25,0.030303,0,0.9697,1,0,0,0.075758,0.076923,0.175,0.35,2,146,0,9,52,0.26
VP35,no,no,0,0,1,1,0,0,0.058824,0.058824,0.15,0.15,0.040541,0.052632,0.95946,0.94737,0,0,0.027027,0,0.075,0.05,4,174,0,7,22,0.11
VP36,no,yes,0.028169,0.066667,0.95775,0.93333,0.014085,0,0.070423,0,0.1125,0.25,0.028571,0.125,0.97143,0.875,0,0,0.057143,0.0625,0.125,0.2,7,164,1,10,28,0.14
VP37,no,no,0,0,0.9726,0.89474,0.027397,0.10526,0.054795,0.052632,0.0875,0.05,0.041667,0,0.95833,1,0,0,0.069444,0.055556,0.1,0.1,3,175,4,11,18,0.09
VP38,no,no,0.042254,0,0.95775,1,0,0,0.056338,0.052632,0.1125,0.05,0.17105,0,0.77632,0.8125,0.052632,0.1875,0.078947,0.0625,0.05,0.2,16,159,7,12,18,0.09
VP39,no,no,0,0,0.98214,1,0.017857,0,0.071429,0.066667,0.3,0.25,0.15789,0,0.84211,1,0,0,0.087719,0.076923,0.2875,0.35,9,131,1,11,59,0.295
VP40,no,no,0.026316,0.058824,0.97368,0.94118,0,0,0.026316,0.058824,0.05,0.15,0,0.058824,1,0.94118,0,0,0.094595,0,0.075,0.15,4,180,0,10,16,0.08
VP41,no,no,0.096774,0.066667,0.83871,0.73333,0.064516,0.2,0.032258,0.13333,0.6125,0.25,0.14815,0,0.85185,1,0,0,0.055556,0,0.325,0.7,12,89,5,6,94,0.47
VP42,no,no,0,0,1,1,0,0,0.042857,0.11111,0.125,0.1,0.028169,0.066667,0.97183,0.93333,0,0,0.042254,0.13333,0.1125,0.25,3,171,0,10,26,0.13
VP43,no,no,0.013333,0,0.96,1,0.026667,0,0.04,0.05,0.0625,0,0,0,1,1,0,0,0.027778,0.052632,0.1,0.05,1,183,2,7,14,0.07
VP44,no,no,0,0,1,1,0,0,0.04,0.058824,0.0625,0.15,0.097222,0,0.90278,1,0,0,0.041667,0.10526,0.1,0.05,7,176,0,9,17,0.085
VP45,no,no,0,0,1,1,0,0,0.028571,0.055556,0.125,0.1,0,0,1,1,0,0,0.083333,0.058824,0.1,0.15,0,177,0,10,23,0.115
VP46,no,no,0,0,1,1,0,0,0.05,0.05,0,0,0,0,1,1,0,0,0.0375,0,0,0,0,200,0,8,0,0
